y_true,q0.1,q0.5,q0.9
1016.4511,955.76874,1027.8776,1100.5177
1017.2738,951.0256,1022.757,1094.8436
1030.3209,950.65015,1022.47626,1094.5757
1020.1146,954.54443,1027.059,1099.768
1008.08307,945.71014,1016.74915,1087.9751
1000.27563,936.1077,1005.4839,1075.0912
983.8506,928.897,996.94305,1065.3105
982.36884,916.8009,982.61096,1048.946
980.9506,910.3912,975.1122,1040.4022
947.7675,901.99866,965.0149,1028.7795
932.83936,880.57935,940.7612,1001.5305
908.83575,864.6251,922.3404,980.6427
879.85394,842.29694,896.84937,951.8657
855.39185,816.92773,868.21405,919.6761
830.32166,791.8255,839.7234,887.567
805.84094,766.4094,811.01,855.2817
781.0004,738.4668,778.5999,818.4772
751.4743,711.5252,747.2649,782.9408
723.70917,679.19244,712.76215,748.6418
693.36676,649.11865,683.51556,725.3934
661.60834,610.2769,654.34454,702.08673
628.2027,566.49677,622.9642,675.4025
597.6285,521.3258,590.73145,648.8243
564.8339,479.6387,560.8296,623.42
531.75964,439.0411,531.6066,598.0511
497.65405,399.27704,503.0724,573.6438
462.87048,362.70383,476.7127,550.6309
427.3034,329.71936,452.801,529.2222
391.99152,297.31555,429.34946,508.7029
356.89233,263.0606,404.46103,486.7217
321.8899,229.1036,379.74695,464.88452
286.86725,201.78056,360.09314,448.9637
252.94044,183.31041,347.284,441.7249
809.0497,765.2714,799.2609,838.48865
823.79834,776.9471,812.885,853.95905
804.5501,787.6209,825.3747,868.15247
796.3396,782.3047,819.2917,861.40063
818.2924,781.70044,818.613,860.71405
835.5696,796.4854,835.3663,879.5841
841.373,808.3306,848.72296,894.5719
840.7947,813.67554,855.06433,901.84094
857.4607,816.6369,858.3296,905.536
847.085,826.67676,869.9779,918.7497
852.7603,823.618,866.55756,914.98676
861.39215,827.1713,870.889,919.9935
844.6622,831.4016,876.08295,925.9691
843.489,824.39703,868.1673,917.09686
859.306,824.6758,868.65424,917.7277
886.23926,832.99536,878.2711,928.58417
883.3415,846.2271,893.9611,946.45135
