y_true,q0.1,q0.5,q0.9
1018.0922,923.3154,1004.7277,1104.5613
997.44855,921.74994,1004.049,1104.0255
989.1738,913.13116,996.5108,1095.4012
976.0936,910.1822,994.37054,1093.0566
967.86066,903.2187,988.74713,1086.7053
997.2183,898.48926,985.2219,1082.8022
994.9605,907.53534,994.86505,1094.3181
979.04333,907.0371,995.21545,1094.9839
976.70636,902.32025,991.1607,1090.3599
968.3914,897.74744,986.31995,1084.5437
989.30646,888.2012,975.92413,1072.1062
987.61755,893.83307,980.372,1077.1125
987.58276,895.67676,982.3607,1079.6372
980.6959,900.4488,988.3521,1087.0509
996.0106,900.03485,989.31573,1088.5195
997.89734,911.7722,999.2411,1099.6854
997.7797,915.79724,1001.7826,1102.4299
1045.1194,919.8945,1004.78973,1105.7278
1054.6049,938.72095,1024.0986,1128.6531
1061.1746,951.71234,1038.3181,1145.7588
1068.3792,962.90924,1050.4845,1160.3225
1073.4484,970.4667,1059.0328,1170.6533
1073.223,974.67737,1064.7261,1177.74
1083.6251,976.91943,1068.4722,1182.4353
1074.5424,986.7768,1078.4109,1193.9578
1088.4745,985.73315,1077.4408,1192.787
1080.8113,989.9617,1081.5178,1197.4868
1076.1842,986.717,1078.3568,1193.6451
1085.3848,981.7786,1073.0735,1187.2778
1066.5354,981.9971,1073.0029,1187.0771
1069.7386,975.27985,1066.0536,1178.7173
1068.8978,973.2662,1063.5226,1175.5195
1065.0195,970.54517,1060.5093,1171.8251
1089.3162,966.60767,1056.6565,1167.2238
1101.6821,973.4176,1063.5468,1175.2534
1103.3904,976.5721,1066.919,1179.2996
1081.2584,975.52374,1066.4263,1178.7787
1072.9114,963.5317,1054.588,1164.772
1053.3424,953.9834,1044.3877,1152.4282
1034.6592,940.50824,1029.854,1134.8337
1016.8429,926.0949,1014.12585,1115.6887
993.92584,910.4069,996.6697,1094.3811
973.5187,892.1841,976.07556,1069.2601
949.2593,874.1961,955.0944,1043.5354
924.84045,853.0498,930.50354,1013.50287
902.4887,829.6053,903.37933,980.4423
879.1581,806.1788,876.0572,947.11194
852.7943,784.7109,850.45306,915.79474
825.7887,761.9253,824.47424,884.2648
798.33777,739.1754,799.2031,853.69995
769.9388,714.3231,772.1753,821.1633
741.54895,686.08496,740.8018,786.6
713.28204,646.5796,701.18164,750.14886
683.4895,600.1939,658.39026,713.9351
654.57355,556.4689,619.8338,679.65594
624.62445,516.2302,590.5512,653.9478
594.585,477.53738,563.6852,630.90137
563.20825,442.21463,538.86957,608.5417
529.8204,401.8709,510.39417,582.3161
495.60303,358.33005,479.5623,553.54395
460.3758,318.79825,451.45895,526.99994
426.19266,277.90164,422.5605,500.23782
392.70822,238.1173,394.47498,474.26318
358.19998,199.81027,367.33218,448.73065
324.50247,165.96489,343.25772,425.72284
291.0188,138.22397,323.39767,406.29895
258.07416,117.78518,308.625,391.41605
971.60767,892.9827,955.71844,1040.5902
974.44086,901.6811,965.03235,1051.9249
989.1247,908.3271,972.3993,1060.9962
990.0502,917.0409,981.9886,1072.7065
996.5383,923.1267,989.12756,1081.5641
1002.7716,928.4021,995.6663,1089.7493
1008.3945,933.2569,1001.74005,1097.3562
1014.4826,938.0105,1007.79156,1104.946
1021.5373,943.67,1014.651,1113.4459
1030.5037,950.00885,1022.1099,1122.6262
984.827,956.67145,1030.0026,1132.3506
1038.5873,946.92725,1021.8172,1123.1709
1056.4451,964.96204,1040.3135,1145.1351
1050.9656,977.51776,1054.027,1161.7216
1078.1367,981.61926,1059.7405,1169.0044
1093.2365,994.047,1073.8708,1186.1926
1093.2012,1002.8288,1085.0397,1200.0588
1099.4093,1006.8548,1091.6345,1208.5472
1095.8492,1012.0675,1099.0089,1217.8221
1086.6127,1013.3344,1102.2987,1222.242
1096.8788,1009.89996,1100.9366,1221.1287
1115.2681,1011.5336,1103.704,1224.7107
1109.5875,1018.27637,1111.5737,1234.3232
1112.6204,1017.6201,1112.6401,1236.0483
1105.3586,1017.80084,1114.409,1238.5363
1092.6002,1015.4862,1113.5891,1237.8389
1095.1876,1007.6098,1106.7505,1230.0315
1096.241,1005.4376,1105.0033,1228.0333
1100.8729,1002.0544,1102.1633,1224.8174
1129.2468,1001.6391,1102.1956,1225.0461
1132.5168,1015.7776,1116.1039,1241.372
1150.1664,1019.11304,1120.271,1246.566
1139.3193,1024.2874,1126.4484,1254.2202
1117.6696,1021.1903,1124.7474,1252.6713
1115.9161,1014.9526,1120.1501,1247.6528
1127.9203,1017.7533,1123.5952,1251.6985
1161.1235,1022.97473,1128.6337,1257.5929
1181.2465,1037.783,1142.6653,1274.0422
1161.3895,1049.2068,1154.3324,1288.0079
1166.431,1045.3912,1151.8291,1285.5513
1162.6339,1047.6808,1155.0712,1289.6462
1172.9283,1047.5188,1155.9331,1290.8649
1166.5498,1050.8158,1159.7067,1295.4064
1165.81,1046.8726,1156.0027,1291.2374
1169.9324,1048.1414,1157.485,1293.0221
1176.4484,1050.1595,1159.5222,1295.4368
1187.6536,1051.201,1160.8916,1297.2097
1180.2461,1055.6714,1165.923,1303.2715
1145.3497,1053.9279,1164.9141,1302.2067
1172.158,1037.5447,1149.738,1284.404
1141.3583,1044.756,1156.2546,1291.8717
1153.8085,1031.9108,1144.2632,1277.8981
1193.4557,1024.8665,1137.8976,1270.4814
1191.6523,1031.5103,1144.3215,1277.9325
1075.5856,1026.9452,1139.8866,1272.4918
1167.6721,987.6844,1100.6776,1225.7013
989.1911,994.9086,1107.8972,1233.9016
1106.4429,956.04736,1068.718,1187.1298
771.512,977.6981,1089.7643,1211.273
941.87854,780.6632,928.64746,1054.8851
1029.098,912.8675,1028.1041,1138.7008
1109.7548,957.71436,1065.4331,1181.1316
1169.5793,984.8198,1087.8187,1206.8038
1133.8656,1011.4716,1113.3455,1237.3976
1190.0934,1000.9655,1102.6063,1224.9297
1166.806,1032.4521,1133.3857,1261.3326
1140.06,1029.2666,1130.895,1258.8525
1118.7141,1020.09766,1122.3475,1248.9198
1090.4274,1008.0934,1110.2843,1234.5123
1055.0846,989.45404,1090.8936,1211.1445
1025.7828,962.38446,1062.3142,1176.6089
1040.8809,935.6064,1033.0219,1140.882
1011.6582,929.31146,1023.64746,1128.6355
1000.0523,903.44116,995.0283,1093.9473
976.467,881.60046,970.37604,1063.8859
935.09564,854.91,940.3538,1027.4249
892.6506,813.88434,897.8428,979.1422
862.0913,764.0225,847.6533,924.5976
870.9721,718.00525,798.8592,869.72815
830.13226,700.9892,776.34076,841.97156
784.85876,645.70294,722.4837,790.15155
539.7279,575.21826,654.10614,729.08093
330.37772,395.10434,512.9738,608.05566
575.57715,303.69363,447.7164,546.6111
628.2019,472.1421,570.88257,664.4216
577.9341,439.28668,543.8484,633.3691
572.9445,398.71704,512.3774,599.4501
473.38474,372.49854,493.07983,578.8315
461.8011,291.6613,435.05002,521.1901
455.0902,306.25687,444.8792,529.48193
403.71725,259.67606,411.11914,494.88077
350.56064,210.84755,375.95825,459.7075
295.8162,161.56853,340.6284,424.89984
98.81244,113.82035,306.51416,391.67578
194.3493,-5.5827985,221.32056,308.4413
250.01866,44.259335,256.9378,343.9288
840.987,795.8831,845.8251,907.79767
836.5481,793.3486,843.1427,904.5738
842.34064,792.5538,842.06494,903.1741
839.3302,799.1396,849.0481,911.45825
849.39056,800.2892,850.2365,912.8111
888.3392,805.2771,855.50433,919.1141
869.9155,807.3074,857.8777,922.0935
836.45135,805.9778,857.5124,921.95844
805.26013,788.71246,839.7545,900.91925
774.1666,770.17365,819.41406,876.5491
671.2548,739.3422,786.91125,839.1059
715.8643,681.6581,733.4751,783.0824
759.8508,721.82294,770.61786,819.32324
721.0572,734.0084,780.2081,829.5307
700.64355,725.9562,773.174,821.8112
773.8881,727.9938,778.48724,829.03345
837.80554,762.0961,814.8443,872.1519
844.9076,788.93134,841.97955,903.83777
900.71356,801.9148,855.32526,919.5643
894.4459,818.4369,871.7977,938.9812
873.1826,822.57104,876.18274,944.4358
876.00336,821.42236,875.22064,943.4887
848.4631,827.0739,881.19305,950.9098
883.8823,820.1102,875.3859,944.3109
871.3683,818.1273,872.90405,941.5925
850.5138,809.96533,865.7311,933.23627
879.2239,821.822,880.00275,950.30585
888.9886,828.7447,888.3909,960.39874
860.06836,830.2975,890.87225,963.5229
885.685,824.2069,885.17236,956.87604
890.75446,828.7441,890.3576,963.18164
860.5622,823.823,884.69135,956.2994
894.2439,807.48303,867.14233,935.26776
896.79565,800.17377,858.88947,925.276
862.1035,800.86676,859.1509,925.4564
848.3928,770.2845,826.9481,887.8085
734.8862,757.0353,813.4587,873.03503
668.63306,722.87823,784.3491,841.1731
645.444,686.4465,750.6044,804.1113
807.3451,688.25696,747.9122,797.0529
749.10895,745.6202,812.15656,872.44977
856.43414,747.7379,811.754,871.1501
875.7712,783.30365,846.6849,911.95245
890.73914,791.3062,851.88196,917.2238
887.8256,802.19135,862.7109,929.9858
876.59644,809.6638,869.0936,937.24023
869.3099,820.7192,879.91943,950.0971
905.69305,822.4776,881.6712,952.2568
872.7536,834.4353,894.3112,967.5337
925.99756,835.4686,897.43243,971.6181
